Reference, Value, Footprint, Datasheet
"RV1","POT","Switch:Potenciometro",""
"RV2","POT","Switch:Potenciometro",""
"P3","CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06",""
"P2","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08",""
"SW1","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"SW2","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"SW3","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"SW4","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"P1","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08",""
"SW5","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"SW6","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"SW7","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"SW8","Switch_DPST","Buttons_Switches_ThroughHole:SW_PUSH-12mm",""
"BZ1","buzzer","Buzzers_Beepers:MagneticBuzzer_Kingstate_KCG0601",""
"J1","jack_audio_5pin","jack_audio:jack_audio_huella",""
"D1","LED_Array","array_LEDs:Array_4_LED",""
"RR1","RR4","pth_resistors:r-sil_5",""
"SW9","SWITCH_INV_MSM","switch:switch_100sp5",""
"P4","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08",""
